id,adresse,ville,code_insee,longitude,latitude
VEL012,Lille - Av. Le Corbusier,LILLE,59350.0,3.0736255836,50.6386199959
VEL014,Lille - Grand Boulevard,LILLE,59350.0,3.0874738899,50.6560629933
VEL001,Armentières - Bd. Faidherbe,ARMENTIERES,59017.0,2.874313983,50.6815700001
VEL004,Comines - Rue des Processions,COMINES,59152.0,3.0102939927,50.7610359925
VEL018,Roubaix - Av. des Nations Unies,ROUBAIX,59512.0,3.1753529868,50.6941529966
VEL022,Tourcoing - Av. Allende,TOURCOING,59599.0,3.1641883317,50.7219299923
VEL023,Tourcoing - Rue de Roubaix,TOURCOING,59599.0,3.1643330034,50.7147670066
VEL027,Wambrechies - Rue de Quesnoy,WAMBRECHIES,59636.0,3.0371420051,50.6954999885
VEL002,Bondues - Chemin St Georges,BONDUES,59090.0,3.0838999907,50.7030370001
VEL005,Croix - Avenue Flandres,CROIX,59163.0,3.1522650086,50.6682969915
VEL017,Roncq - Rue de Lille,RONCQ,59508.0,3.1212108037,50.7637500101
VEL019,Roubaix - Av. G.Delory,ROUBAIX,59512.0,3.1852410169,50.6703200047
VEL024,Villeneuve d Ascq - Bd Van Gogh,VILLENEUVE-D ASCQ,59009.0,3.1311889983,50.6213459892
VEL039,Mons En Baroeul - Av. E.Zola,MONS-EN-BARŒUL,59410.0,3.0972464549,50.6420221093
VEL003,Capinghem - Rue Poincaré,CAPINGHEM,59128.0,2.9605669891,50.6461199981
VEL006,Fretin - RD145,FRETIN,59256.0,3.1182150044,50.5750699934
VEL007,Haubourdin - Rue Carnot,HAUBOURDIN,59286.0,2.9893956226,50.6114153998
VEL008,Herlies - Chemin du cap. Boyle,HERLIES,59303.0,2.8570533406,50.5706699962
VEL016,Lomme - Av. de Dunkerque,LOMME,59355.0,3.0175309961,50.6416099911
VEL028,Lille - Rue Pierre Legrand,LILLE,59350.0,3.0823796,50.6326899991
VEL021,Seclin - Rue de Bouvry,SECLIN,59560.0,3.0233229929,50.5440799998
VEL015,Lille - Cheminot Coquelin <> Cités Unies,LILLE,59350.0,3.0809253646,50.6320449911
VEL026,Villeneuve d Ascq - 8 Mai 1945,VILLENEUVE-D ASCQ,59009.0,3.155389017,50.634759993
VEL010,La Madeleine - Pasteur,LA MADELEINE,59368.0,3.0756719726,50.6410947487
VEL037,Lille Déportés vers centre,LILLE,59350.0,3.073691029,50.6305275779
VEL038,Lille Déportés vers ext,LILLE,59350.0,3.072729988,50.6304258929
VEL009,Houplines - Rocade de la Lys,HOUPLINES,59317.0,2.9148029917,50.6810399988
VEL013,Lille - Façade de l Esplanade,LILLE,59350.0,3.0532480045,50.6391299915
VEL011,Lezennes - Bd. de Tournai,LEZENNES,59346.0,3.1238069971,50.6134380047
VEL032,Deulémont - Chemin du Petit Bonheur,DEULEMONT,59173.0,2.9788749221,50.7219322673
VEL033,Hem - Rue Jules Guesde,HEM,59299.0,3.1945610891,50.6591725624
VEL034,La Madeleine - Grand Boulevard (Romarin),LA MADELEINE,59368.0,3.0748881254,50.6456737245
VEL040,Mons-en-Baroeul - Avenue de Baroeul,MONS-EN-BARŒUL,59410.0,3.1104312081,50.6518559387
VEL030,Anstaing - Rue Nationale,ANSTAING,59013.0,3.1833669974,50.6099092592
VEL031,Bondues - M617-Ave De Gaulle (Domyos),BONDUES,59090.0,3.0871625406,50.6904918761
VEL042,Templemars - Route de Vendeville,TEMPLEMARS,59585.0,3.0651622856,50.5714074622
VEL029,Lille - Pont de Tournai,LILLE,59350.0,3.0897426728,50.6222907831
